,Steps,Extra Steps,Close Sniff Rate,Far Sniff Rate,Surge Sniff Rate,Cast Sniff Rate
58,452,212.0,0.0661764705882353,0.12698412698412698,0.08745247148288973,0.24456521739130435
59,436,196.0,0.07352941176470588,0.12374581939799331,0.09505703422053231,0.23728813559322035
60,568,328.0,0.09022556390977443,0.12292358803986711,0.09539473684210527,0.24782608695652175
61,554,314.0,0.07936507936507936,0.12292358803986711,0.09,0.24651162790697675
62,558,318.0,0.09375,0.12292358803986711,0.10457516339869281,0.25462962962962965
63,448,208.0,0.07692307692307693,0.125,0.09811320754716982,0.24064171122994651
64,439,199.0,0.07913669064748201,0.12374581939799331,0.09885931558935361,0.23837209302325582
65,456,216.0,0.07692307692307693,0.12374581939799331,0.09578544061302682,0.24175824175824176
66,443,203.0,0.06293706293706294,0.12374581939799331,0.09195402298850575,0.23204419889502761
67,442,202.0,0.05970149253731343,0.1270358306188925,0.09090909090909091,0.23295454545454544
68,452,212.0,0.09210526315789473,0.12374581939799331,0.10526315789473684,0.22727272727272727
69,432,192.0,0.06060606060606061,0.12374581939799331,0.08812260536398467,0.23121387283236994
70,435,195.0,0.08148148148148149,0.12374581939799331,0.09848484848484848,0.23121387283236994
71,438,198.0,0.06015037593984962,0.12828947368421054,0.09195402298850575,0.24431818181818182
72,448,208.0,0.08108108108108109,0.12374581939799331,0.0946969696969697,0.2388888888888889
73,435,195.0,0.06666666666666667,0.12374581939799331,0.09230769230769231,0.23295454545454544
74,447,207.0,0.07482993197278912,0.12374581939799331,0.09811320754716982,0.2388888888888889
75,432,192.0,0.06060606060606061,0.12374581939799331,0.08812260536398467,0.23121387283236994
76,558,318.0,0.078125,0.12292358803986711,0.0903010033444816,0.24324324324324326
77,573,333.0,0.0996309963099631,0.12292358803986711,0.10423452768729642,0.2564102564102564
78,451,211.0,0.07913669064748201,0.13183279742765272,0.10740740740740741,0.24581005586592178
79,558,318.0,0.09375,0.12292358803986711,0.09933774834437085,0.25675675675675674
80,451,211.0,0.08609271523178808,0.12374581939799331,0.10150375939849623,0.23076923076923078
81,436,196.0,0.08823529411764706,0.12374581939799331,0.1018867924528302,0.23121387283236994
82,437,197.0,0.08029197080291971,0.12374581939799331,0.1018867924528302,0.23837209302325582
83,584,344.0,0.1,0.12211221122112212,0.11858974358974358,0.26495726495726496
84,562,322.0,0.07392996108949416,0.125,0.09836065573770492,0.24413145539906103
85,449,209.0,0.10067114093959731,0.12374581939799331,0.10861423220973783,0.24867724867724866
86,447,207.0,0.06428571428571428,0.12745098039215685,0.09090909090909091,0.23497267759562843
87,557,317.0,0.08235294117647059,0.12292358803986711,0.09666666666666666,0.24651162790697675
88,441,201.0,0.06382978723404255,0.12374581939799331,0.09230769230769231,0.23163841807909605
89,447,207.0,0.08843537414965986,0.12374581939799331,0.09774436090225563,0.23756906077348067
90,453,213.0,0.07913669064748201,0.13099041533546327,0.10780669144981413,0.2554347826086957
91,551,311.0,0.07630522088353414,0.12292358803986711,0.09271523178807947,0.23943661971830985
92,566,326.0,0.09615384615384616,0.12459016393442623,0.10130718954248366,0.26406926406926406
93,437,197.0,0.08029197080291971,0.12374581939799331,0.09578544061302682,0.24581005586592178
